MOFname,linker-SMILES,RDKitLinkerSanity
j.jssc.2016.06.015_ZJU-10_clean,['[C@]123[C@@]4([C@]56[C@]1([C@@]13[C@]3([C@@]75[C@]([O])([C@]213)[C@]467)[O])[O])[O].c1(C(=O)[O])c[c]cc(C(=O)[O])c1.c1(C(=O)[O])c[c]cc(C(=O)[O])c1'],True
j.jssc.2016.06.017_1_clean,"['c1cc(ccn1)c1ccncc1', 'C(=O)(c1ccc(cc1C(=O)[O])Oc1c(c2ccccc2cc1)C(=O)[O])O']",True
j.jssc.2016.09.008_mmc7_clean,"['Brc1c(cc(cc1)C(=O)[O])C(=O)[O]', '[CH]1N=C[N]N1Cc1ccc(CN2[CH]N=C[N]2)cc1']",True
j.jssc.2016.09.008_mmc8_clean,"['O=C(c1cc(ccc1Br)C(=O)[O])[O]', '[CH]1N=C[N]N1CCCCN1[CH]N=C[N]1']",True
j.jssc.2016.09.009_mmc2_clean,['O=C(c1cc(C(=O)[O])cc(c1)c1nnn[n]1)[O]'],True
j.jssc.2016.09.009_mmc4_clean,['O=C(c1cc(C(=O)[O])cc(c1)c1nnn[n]1)[O]'],True
j.jssc.2016.09.009_mmc6_clean,['O=C(c1cc(C(=O)[O])cc(c1)c1nnn[n]1)[O]'],True
j.jssc.2016.09.025_cif-3_clean,['c1c(ccc(c1)S(=O)(=O)c1ccc(C(=O)[O])cc1)C(=O)[O]'],True
j.jssc.2016.10.008_Gd_clean,['N12[C@@]34N5C(=O)N6[C@]3(N(CN3C(=O)N7[C@]89N(C(=O)N(C6)[C@]38CCCC9)CN3[C@]68N(C7)C(=O)N7[C@@]6(N(C3=O)CN3[C@]69N(C7)C(=O)N7[C@@]6(N(C3=O)CN3[C@]6%10N(C7)C(=O)N7[C@@]6(N(C3=O)CN3[C@]6%11N(C7)C(=O)N([C@@]6(N(C3=O)C5)CCCC%11)C1)CCCC%10)CCCC9)CCCC8)C2=O)CCCC4'],True
j.jssc.2016.10.008_La_clean,['N12C(=O)N3[C@]45N6C(=O)N([C@]14CCCC5)CN1[C@@]45N(C(=O)N7CN8C(=O)N9CN%10C(=O)N%11CN%12C(=O)N%13CN%14C(=O)N(C3)[C@@]3%15N(C6)C(=O)N([C@@]%143CCCC%15)CN3[C@]6%13[C@]%12(N(C3=O)CN3[C@]%12%11[C@]%10(N(C3=O)CN3[C@]%109[C@]8(N(C3=O)CN([C@@]47CCCC5)C1=O)CCCC%10)CCCC%12)CCCC6)C2'],True
